brand,model,release_date,price_range,processor,ram,storage,battery_capacity,screen_size,display_type,refresh_rate,rear_camera,front_camera,os,weight,dimensions,water_resistant,is_5g,charging_type,affiliate_link
Apple,iPhone 14 Pro,2023-09-14,Above $1200,A16 Bionic,6,"128GB, 256GB, 512GB",3200,6.1,OLED,120,48MP + 12MP + 12MP,12MP,iOS,206,147.5 x 71.5 x 7.85 mm,True,True,"Fast charging, Wireless charging",https://affiliate.apple.com/iphone-14-pro
Samsung,Galaxy S22,2022-02-25,$800-$1000,Snapdragon 8 Gen 1,8,"128GB, 256GB",3700,6.1,AMOLED,120,50MP + 10MP + 12MP,10MP,Android,168,146 x 70.6 x 7.6 mm,True,True,"Fast charging, Wireless charging",https://affiliate.samsung.com/galaxy-s22
Xiaomi,Mi 12,2022-12-28,$600-$800,Snapdragon 8 Gen 1,8,"128GB, 256GB",4600,6.28,AMOLED,120,50MP + 13MP + 5MP,32MP,Android,179,152.7 x 69.9 x 8.2 mm,False,True,"Fast charging, Wireless charging",https://affiliate.xiaomi.com/mi-12
OnePlus,10 Pro,2022-01-11,$600-$800,Snapdragon 8 Gen 1,12,"256GB, 512GB",5000,6.7,LTPO2 AMOLED,120,48MP + 8MP + 50MP,32MP,Android,200,163 x 73.9 x 8.55 mm,True,True,"Fast charging, Wireless charging",https://affiliate.oneplus.com/10-pro
Google,Pixel 6,2021-10-28,$600-$800,Google Tensor,8,"128GB, 256GB",4614,6.4,AMOLED,90,50MP + 12MP,8MP,Android,207,158.6 x 74.8 x 8.9 mm,True,True,"Fast charging, Wireless charging",https://affiliate.google.com/pixel-6
Apple,iPhone SE (2022),2022-03-18,$300-$600,A15 Bionic,4,"64GB, 128GB, 256GB",2018,4.7,Retina IPS LCD,60,12MP,7MP,iOS,144,138.4 x 67.3 x 7.3 mm,False,True,"Fast charging, Wireless charging",https://affiliate.apple.com/iphone-se-2022
Samsung,Galaxy A53,2022-03-31,$300-$600,Exynos 1280,6,"128GB, 256GB",5000,6.5,Super AMOLED,120,64MP + 12MP + 5MP + 5MP,32MP,Android,189,159.6 x 74.8 x 8.1 mm,True,True,Fast charging,https://affiliate.samsung.com/galaxy-a53
Xiaomi,Redmi Note 11,2022-01-26,Under $300,Snapdragon 680,4,"64GB, 128GB",5000,6.43,AMOLED,90,50MP + 8MP + 2MP + 2MP,13MP,Android,179,159.9 x 73.9 x 8.1 mm,False,False,Fast charging,https://affiliate.xiaomi.com/redmi-note-11
Oppo,Find X5 Pro,2022-02-24,Above $1200,Snapdragon 8 Gen 1,12,"256GB, 512GB",5000,6.7,LTPO2 AMOLED,120,50MP + 50MP + 13MP,32MP,Android,218,163.7 x 73.9 x 8.5 mm,True,True,"Fast charging, Wireless charging",https://affiliate.oppo.com/find-x5-pro
Sony,Xperia 1 IV,2022-06-11,Above $1200,Snapdragon 8 Gen 1,12,"256GB, 512GB",5000,6.5,OLED,120,12MP + 12MP + 12MP,12MP,Android,185,165 x 71 x 8.2 mm,True,True,"Fast charging, Wireless charging",https://affiliate.sony.com/xperia-1-iv